ewc_lambda,n_unfreeze,lr,epochs,ade_before_base,ade_after_base,ade_before_test,ade_after_test,cat_ratio,recovery_pct,final_loss
100000.0,2,1e-05,5,6.2526,6.1051,4.9649,4.7997,0.4518,-12.8,0.000538
1000000.0,2,1e-05,5,6.2526,6.0995,4.9649,4.8132,0.4487,-11.8,0.000539
10000000.0,2,1e-05,5,6.2526,6.1087,4.9649,4.801,0.4503,-12.7,0.000542
