replay_ratio,n_replay,n_unfreeze,lr,epochs,ade_before_base,ade_after_base,ade_before_test,ade_after_test,cat_ratio,recovery_pct
0.25,3000,2,1e-05,5,6.2526,6.0739,4.9649,4.752,0.4378,-16.5
0.5,6000,2,1e-05,5,6.2526,6.0395,4.9649,4.749,0.4178,-16.8
1.0,6000,2,1e-05,5,6.2526,6.0528,4.9649,4.7488,0.4265,-16.8
