fase,detector,config,FAR_2019_per1k,year_coverage,SNR_smooth,detection_efficiency,n_alarms_post,n_2019,n_2021,n_2022,n_2023,n_2024,n_2025,SNR_op,papel_final
3,ADWIN_S2S,"delta=1e-7, mw=600, cd=200, xw=2000",0.0417,5,1.6,0.92,23,2,11,1,5,4,2,2.3,Detetor primário recomendado
3,ADWIN_Kalman,"delta=1e-7, mw=200, cd=1000, xw=5000",0.1042,5,1.5333,0.9,45,5,14,11,10,9,1,1.8,Corroborador OR
3,"OR(ADWIN_S2S, ADWIN_Kalman)","OR(ADWIN_S2S, ADWIN_Kalman)",0.1458,5,1.725,0.9067,68,7,25,12,15,13,3,1.94,Vigilância multi-ano
2,KSWIN,"alpha=1e-5, ws=1000, ss=100",0.4375,5,0.7455,0.7941,81,21,15,11,21,23,11,0.77,Inadmissível — FAR > 0.20/1k (especificidade insuficiente)
3,"AND(ADWIN_S2S, PH_agg)","AND(ADWIN_S2S, PH_agg), W=200, deb=5000",0.0,0,0.2,0.0,0,0,0,0,0,0,0,0.0,Resultado negativo — AND inviável
3,PH_agg,"N=50, K_thr=50, K_delta=2.0",0.0,1,2.6,1.0,12,0,12,0,0,0,0,9999.0,Resultado negativo — cobertura 1/5 anos
