param,arl_measured,target_arl,abs_diff
0.0001,5000.0,500.0,4500.0
0.0005,5000.0,500.0,4500.0
0.001,5000.0,500.0,4500.0
0.005,4978.0,500.0,4478.0
0.01,4971.2,500.0,4471.2
0.05,4748.6,500.0,4248.6
0.1,4311.6,500.0,3811.6
