n_jogos_2019,rep,ade_2019,year,ade_y,excess_mm
1,23,6.1952,2022,4.8754,-1.3197
1,23,6.1952,2023,5.1974,-0.9977
1,23,6.1952,2024,4.9512,-1.2439
1,23,6.1952,2025,4.8871,-1.3081
1,24,6.1952,2019,6.1952,0.0
1,24,6.1952,2021,6.4934,0.2982
1,24,6.1952,2022,4.8754,-1.3197
1,24,6.1952,2023,5.1974,-0.9977
1,24,6.1952,2024,4.9512,-1.2439
1,24,6.1952,2025,4.8871,-1.3081
1,25,6.1952,2019,6.1952,0.0
1,25,6.1952,2021,6.4934,0.2982
1,25,6.1952,2022,4.8754,-1.3197
1,25,6.1952,2023,5.1974,-0.9977
1,25,6.1952,2024,4.9512,-1.2439
1,25,6.1952,2025,4.8871,-1.3081
1,26,6.1952,2019,6.1952,0.0
1,26,6.1952,2021,6.4934,0.2982
1,26,6.1952,2022,4.8754,-1.3197
1,26,6.1952,2023,5.1974,-0.9977
1,26,6.1952,2024,4.9512,-1.2439
1,26,6.1952,2025,4.8871,-1.3081
1,27,6.1952,2019,6.1952,0.0
1,27,6.1952,2021,6.4934,0.2982
1,27,6.1952,2022,4.8754,-1.3197
1,27,6.1952,2023,5.1974,-0.9977
1,27,6.1952,2024,4.9512,-1.2439
1,27,6.1952,2025,4.8871,-1.3081
1,28,6.1952,2019,6.1952,0.0
1,28,6.1952,2021,6.4934,0.2982
1,28,6.1952,2022,4.8754,-1.3197
1,28,6.1952,2023,5.1974,-0.9977
1,28,6.1952,2024,4.9512,-1.2439
1,28,6.1952,2025,4.8871,-1.3081
1,29,6.1952,2019,6.1952,0.0
1,29,6.1952,2021,6.4934,0.2982
1,29,6.1952,2022,4.8754,-1.3197
1,29,6.1952,2023,5.1974,-0.9977
1,29,6.1952,2024,4.9512,-1.2439
1,29,6.1952,2025,4.8871,-1.3081
1,30,6.1952,2019,6.1952,0.0
1,30,6.1952,2021,6.4934,0.2982
1,30,6.1952,2022,4.8754,-1.3197
1,30,6.1952,2023,5.1974,-0.9977
1,30,6.1952,2024,4.9512,-1.2439
1,30,6.1952,2025,4.8871,-1.3081
1,31,6.1952,2019,6.1952,0.0
1,31,6.1952,2021,6.4934,0.2982
1,31,6.1952,2022,4.8754,-1.3197
1,31,6.1952,2023,5.1974,-0.9977
1,31,6.1952,2024,4.9512,-1.2439
1,31,6.1952,2025,4.8871,-1.3081
1,32,6.1952,2019,6.1952,0.0
1,32,6.1952,2021,6.4934,0.2982
1,32,6.1952,2022,4.8754,-1.3197
1,32,6.1952,2023,5.1974,-0.9977
1,32,6.1952,2024,4.9512,-1.2439
1,32,6.1952,2025,4.8871,-1.3081
1,33,6.1952,2019,6.1952,0.0
1,33,6.1952,2021,6.4934,0.2982
1,33,6.1952,2022,4.8754,-1.3197
1,33,6.1952,2023,5.1974,-0.9977
1,33,6.1952,2024,4.9512,-1.2439
1,33,6.1952,2025,4.8871,-1.3081
1,34,6.1952,2019,6.1952,0.0
1,34,6.1952,2021,6.4934,0.2982
1,34,6.1952,2022,4.8754,-1.3197
1,34,6.1952,2023,5.1974,-0.9977
1,34,6.1952,2024,4.9512,-1.2439
1,34,6.1952,2025,4.8871,-1.3081
1,35,6.1952,2019,6.1952,0.0
1,35,6.1952,2021,6.4934,0.2982
1,35,6.1952,2022,4.8754,-1.3197
1,35,6.1952,2023,5.1974,-0.9977
1,35,6.1952,2024,4.9512,-1.2439
1,35,6.1952,2025,4.8871,-1.3081
1,36,6.1952,2019,6.1952,0.0
1,36,6.1952,2021,6.4934,0.2982
1,36,6.1952,2022,4.8754,-1.3197
1,36,6.1952,2023,5.1974,-0.9977
1,36,6.1952,2024,4.9512,-1.2439
1,36,6.1952,2025,4.8871,-1.3081
1,37,6.1952,2019,6.1952,0.0
1,37,6.1952,2021,6.4934,0.2982
1,37,6.1952,2022,4.8754,-1.3197
1,37,6.1952,2023,5.1974,-0.9977
1,37,6.1952,2024,4.9512,-1.2439
1,37,6.1952,2025,4.8871,-1.3081
1,38,6.1952,2019,6.1952,0.0
1,38,6.1952,2021,6.4934,0.2982
1,38,6.1952,2022,4.8754,-1.3197
1,38,6.1952,2023,5.1974,-0.9977
1,38,6.1952,2024,4.9512,-1.2439
1,38,6.1952,2025,4.8871,-1.3081
1,39,6.1952,2019,6.1952,0.0
1,39,6.1952,2021,6.4934,0.2982
1,39,6.1952,2022,4.8754,-1.3197
1,39,6.1952,2023,5.1974,-0.9977
1,39,6.1952,2024,4.9512,-1.2439
1,39,6.1952,2025,4.8871,-1.3081
1,40,6.1952,2019,6.1952,0.0
1,40,6.1952,2021,6.4934,0.2982
1,40,6.1952,2022,4.8754,-1.3197
1,40,6.1952,2023,5.1974,-0.9977
1,40,6.1952,2024,4.9512,-1.2439
1,40,6.1952,2025,4.8871,-1.3081
1,41,6.1952,2019,6.1952,0.0
1,41,6.1952,2021,6.4934,0.2982
1,41,6.1952,2022,4.8754,-1.3197
1,41,6.1952,2023,5.1974,-0.9977
1,41,6.1952,2024,4.9512,-1.2439
1,41,6.1952,2025,4.8871,-1.3081
1,42,6.1952,2019,6.1952,0.0
1,42,6.1952,2021,6.4934,0.2982
1,42,6.1952,2022,4.8754,-1.3197
1,42,6.1952,2023,5.1974,-0.9977
1,42,6.1952,2024,4.9512,-1.2439
