year,lsif_variant,ade_y,ade_y_ci_lo,ade_y_ci_hi,ade_2019,ade_iw,ade_iw_ci_lo,ade_iw_ci_hi,ess_ratio,ess_stable,ess_regime,recovery_pct,recovery_ci_lo,recovery_ci_hi,recovery_ci_lo_block,recovery_ci_hi_block,iw_corr_mm,iw_corr_mm_ci_lo_block,iw_corr_mm_ci_hi_block,recovery_ci_lo_block_fixed,recovery_ci_hi_block_fixed,recovery_raw,overshoot,recovery_note,excess_total,n_source,n_target
2021,lsif,7.5812,7.4822,7.6938,4.5277,5.7004,5.6413,5.7634,0.5785,True,stable,61.59,60.13,63.07,46.45,84.25,1.8808,1.3346,2.4226,43.71,79.34,61.59,False,ok,3.0535,48000,48000
2022,lsif,4.7528,4.7259,4.7812,4.5277,4.62,4.5873,4.6559,0.7296,True,stable,58.98,46.46,77.92,2.4,707.61,0.1328,0.0206,0.2593,9.15,115.17,58.98,False,ok,0.2251,48000,48000
2023,lsif,5.2133,5.1821,5.2446,4.5277,4.7209,4.6885,4.7504,0.7171,True,stable,71.82,66.86,77.4,31.11,331.65,0.4924,0.3,0.7486,43.76,109.19,71.82,False,ok,0.6856,48000,48000
2024,lsif,4.501,4.4709,4.5324,4.5277,4.2382,4.2097,4.2652,0.7867,True,stable,,,,,,0.2629,,,,,,False,no_excess,-0.0266,48000,48000
2025,lsif,5.2569,5.2268,5.2867,4.5277,4.7514,4.718,4.7824,0.5898,True,stable,69.32,64.44,75.06,43.08,231.66,0.5054,0.417,0.5763,57.19,79.04,69.32,False,ok,0.7292,48000,48000
