year,ade_target,ade_weighted,ess_ratio,n_source,n_target,ade_unweighted,ratio
2021,7.5812,6.8647,0.9365,48000,48000,4.527684384947487,1.5161613346597298
2022,4.7528,4.7191,0.9929,48000,48000,4.527684384947487,1.0422767133877273
2023,5.2133,5.1502,0.993,48000,48000,4.527684384947487,1.1374909472758519
2024,4.501,4.4612,0.9961,48000,48000,4.527684384947487,0.9853160292778981
2025,5.2569,5.1902,0.9918,48000,48000,4.527684384947487,1.1463254853308855
