model,n_stream,baseline_n,baseline_med,baseline_mad,ph_K_thr,ph_thr_mm,ph_delta_mm,min_instances,cooldown,adwin_delta,n_adwin,n_ph,rate_adwin_pct,rate_ph_pct
Seq2Seq,288000,48000,3.7003,1.6820,17.2970,29.0942,0.8410,400,100,0.0001,315,1335,0.1094,0.4635
Kalman,288000,48000,14.9393,6.5153,17.2970,112.6941,3.2576,400,100,0.0001,385,1330,0.1337,0.4618
