W_coincidence,n_confirmed,FAR_2019_per1k,SNR_op,n_2019,n_2021,n_2022,n_2023,n_2024,n_2025
50,0,0.000000,0.000000,0,0,0,0,0,0
100,0,0.000000,0.000000,0,0,0,0,0,0
200,0,0.000000,0.000000,0,0,0,0,0,0
500,1,0.000000,9999.000000,0,1,0,0,0,0
1000,1,0.000000,9999.000000,0,1,0,0,0,0
