variant,W_coincidence,debounce,n_alarms,FAR_2019_per1k,n_alarms_post,SNR_op,n_2019,n_2021,n_2022,n_2023,n_2024,n_2025
confirmed (AND+debounce),200,5000,0,0.000000,0,0.000000,0,0,0,0,0,0
suspected (OR),n/a,n/a,75,0.145800,68,1.940000,7,25,12,15,13,3
confirmed_no_debounce (ablation),200,0,0,0.000000,0,0.000000,0,0,0,0,0,0
and_only (ablation),200,5000,0,0.000000,0,0.000000,0,0,0,0,0,0
or_only (ablation),n/a,n/a,75,0.145800,68,1.940000,7,25,12,15,13,3
adwin_standalone,n/a,n/a,25,0.041700,23,2.300000,2,11,1,5,4,2
ph_standalone,n/a,n/a,12,0.000000,12,9999.000000,0,12,0,0,0,0
kalman_standalone,n/a,n/a,50,0.104200,45,1.800000,5,14,11,10,9,1
