frente,model,detector,exp,delta,min_window,cooldown,max_window,pre_proc,n_2019_total,n_post_total,n_alarms_total,FAR_2019_per1k,n_alarms_post,SNR_op,n_2019,n_2021,n_2022,n_2023,n_2024,n_2025,N_window,K_thr,K_delta,alpha,window_size,stat_size
A,Seq2Seq,ADWIN,A_d1e-05_mw200_cd1000_xw5000,0.000010,200.000000,1000.000000,5000.000000,robz_w200,48000,240000,18,0.062500,15,1.000000,3,9,2,4,0,0,,,,,,
A,Seq2Seq,ADWIN,A_d1e-05_mw400_cd200_xw2000,0.000010,400.000000,200.000000,2000.000000,robz_w200,48000,240000,59,0.250000,47,0.780000,12,14,5,11,15,2,,,,,,
A,Seq2Seq,ADWIN,A_d1e-05_mw400_cd200_xw5000,0.000010,400.000000,200.000000,5000.000000,robz_w200,48000,240000,18,0.062500,15,1.000000,3,9,2,4,0,0,,,,,,
A,Seq2Seq,ADWIN,A_d1e-05_mw400_cd500_xw2000,0.000010,400.000000,500.000000,2000.000000,robz_w200,48000,240000,55,0.250000,43,0.720000,12,12,5,11,13,2,,,,,,
A,Seq2Seq,ADWIN,A_d1e-05_mw400_cd500_xw5000,0.000010,400.000000,500.000000,5000.000000,robz_w200,48000,240000,18,0.062500,15,1.000000,3,9,2,4,0,0,,,,,,
A,Seq2Seq,ADWIN,A_d1e-05_mw400_cd1000_xw2000,0.000010,400.000000,1000.000000,2000.000000,robz_w200,48000,240000,47,0.250000,35,0.580000,12,11,5,10,7,2,,,,,,
A,Seq2Seq,ADWIN,A_d1e-05_mw400_cd1000_xw5000,0.000010,400.000000,1000.000000,5000.000000,robz_w200,48000,240000,18,0.062500,15,1.000000,3,9,2,4,0,0,,,,,,
A,Seq2Seq,ADWIN,A_d1e-05_mw600_cd200_xw2000,0.000010,600.000000,200.000000,2000.000000,robz_w200,48000,240000,60,0.270800,47,0.720000,13,14,5,11,15,2,,,,,,
A,Seq2Seq,ADWIN,A_d1e-05_mw600_cd200_xw5000,0.000010,600.000000,200.000000,5000.000000,robz_w200,48000,240000,19,0.083300,15,0.750000,4,9,2,4,0,0,,,,,,
A,Seq2Seq,ADWIN,A_d1e-05_mw600_cd500_xw2000,0.000010,600.000000,500.000000,2000.000000,robz_w200,48000,240000,56,0.270800,43,0.660000,13,12,5,11,13,2,,,,,,
A,Seq2Seq,ADWIN,A_d1e-05_mw600_cd500_xw5000,0.000010,600.000000,500.000000,5000.000000,robz_w200,48000,240000,19,0.083300,15,0.750000,4,9,2,4,0,0,,,,,,
A,Seq2Seq,ADWIN,A_d1e-05_mw600_cd1000_xw2000,0.000010,600.000000,1000.000000,2000.000000,robz_w200,48000,240000,48,0.270800,35,0.540000,13,11,5,10,7,2,,,,,,
A,Seq2Seq,ADWIN,A_d1e-05_mw600_cd1000_xw5000,0.000010,600.000000,1000.000000,5000.000000,robz_w200,48000,240000,19,0.083300,15,0.750000,4,9,2,4,0,0,,,,,,
A,Seq2Seq,ADWIN,A_d1e-05_mw1000_cd200_xw2000,0.000010,1000.000000,200.000000,2000.000000,robz_w200,48000,240000,58,0.250000,46,0.770000,12,14,5,11,14,2,,,,,,
A,Seq2Seq,ADWIN,A_d1e-05_mw1000_cd200_xw5000,0.000010,1000.000000,200.000000,5000.000000,robz_w200,48000,240000,18,0.062500,15,1.000000,3,9,2,4,0,0,,,,,,
A,Seq2Seq,ADWIN,A_d1e-05_mw1000_cd500_xw2000,0.000010,1000.000000,500.000000,2000.000000,robz_w200,48000,240000,55,0.250000,43,0.720000,12,12,5,11,13,2,,,,,,
A,Seq2Seq,ADWIN,A_d1e-05_mw1000_cd500_xw5000,0.000010,1000.000000,500.000000,5000.000000,robz_w200,48000,240000,18,0.062500,15,1.000000,3,9,2,4,0,0,,,,,,
A,Seq2Seq,ADWIN,A_d1e-05_mw1000_cd1000_xw2000,0.000010,1000.000000,1000.000000,2000.000000,robz_w200,48000,240000,47,0.250000,35,0.580000,12,11,5,10,7,2,,,,,,
A,Seq2Seq,ADWIN,A_d1e-05_mw1000_cd1000_xw5000,0.000010,1000.000000,1000.000000,5000.000000,robz_w200,48000,240000,18,0.062500,15,1.000000,3,9,2,4,0,0,,,,,,
A,Seq2Seq,ADWIN,A_d1e-06_mw200_cd200_xw2000,0.000001,200.000000,200.000000,2000.000000,robz_w200,48000,240000,35,0.125000,29,0.970000,6,10,2,10,5,2,,,,,,
A,Seq2Seq,ADWIN,A_d1e-06_mw200_cd200_xw5000,0.000001,200.000000,200.000000,5000.000000,robz_w200,48000,240000,17,0.083300,13,0.650000,4,9,1,3,0,0,,,,,,
A,Seq2Seq,ADWIN,A_d1e-06_mw200_cd500_xw2000,0.000001,200.000000,500.000000,2000.000000,robz_w200,48000,240000,33,0.104200,28,1.120000,5,10,2,9,5,2,,,,,,
A,Seq2Seq,ADWIN,A_d1e-06_mw200_cd500_xw5000,0.000001,200.000000,500.000000,5000.000000,robz_w200,48000,240000,16,0.062500,13,0.870000,3,9,1,3,0,0,,,,,,
A,Seq2Seq,ADWIN,A_d1e-06_mw200_cd1000_xw2000,0.000001,200.000000,1000.000000,2000.000000,robz_w200,48000,240000,30,0.104200,25,1.000000,5,9,2,8,4,2,,,,,,
