ewc_lambda,n_unfreeze,lr,epochs,ade_before_base,ade_after_base,ade_before_test,ade_after_test,cat_ratio,recovery_pct,final_loss
0.0,2,1e-05,5,4.5843,4.4615,4.9649,4.7992,0.44,43.5,0.000538
50.0,2,1e-05,5,4.5843,4.4741,4.9649,4.8073,0.457,41.4,0.000538
500.0,2,1e-05,5,4.5843,4.4718,4.9649,4.8069,0.4553,41.5,0.000539
5000.0,2,1e-05,5,4.5843,4.4715,4.9649,4.8198,0.457,38.1,0.000539
100000.0,2,1e-05,5,4.5843,4.5026,4.9649,4.8247,0.464,36.8,0.000538
1000000.0,2,1e-05,5,4.5843,4.4916,4.9649,4.8149,0.4647,39.4,0.000538
10000000.0,2,1e-05,5,4.5843,4.4875,4.9649,4.8222,0.4423,37.5,0.00054
