model,N_window,K_thr,K_delta,n_alarms,n_2019_alarms,n_post_alarms,year_coverage,FAR_2019_per1k_win,FAR_2019_per1k_traj
Kalman,200,20,1.0,21,3,18,4,12.5,0.0625
Kalman,200,20,2.0,14,1,13,1,4.1667,0.0208
Kalman,200,30,0.5,22,3,19,4,12.5,0.0625
Kalman,200,30,1.0,18,2,16,3,8.3333,0.0417
Kalman,200,30,2.0,13,1,12,1,4.1667,0.0208
Kalman,200,50,0.5,15,1,14,2,4.1667,0.0208
Kalman,200,50,1.0,13,1,12,2,4.1667,0.0208
Kalman,200,50,2.0,9,0,9,1,0.0,0.0
Kalman,500,5,0.5,35,4,31,5,41.6667,0.0833
Kalman,500,5,1.0,31,3,28,5,31.25,0.0625
Kalman,500,5,2.0,19,3,16,4,31.25,0.0625
Kalman,500,10,0.5,28,3,25,4,31.25,0.0625
Kalman,500,10,1.0,20,3,17,3,31.25,0.0625
Kalman,500,10,2.0,14,1,13,1,10.4167,0.0208
Kalman,500,20,0.5,16,1,15,3,10.4167,0.0208
Kalman,500,20,1.0,14,1,13,2,10.4167,0.0208
Kalman,500,20,2.0,9,0,9,1,0.0,0.0
Kalman,500,30,0.5,11,1,10,2,10.4167,0.0208
Kalman,500,30,1.0,10,1,9,2,10.4167,0.0208
Kalman,500,30,2.0,6,0,6,1,0.0,0.0
Kalman,500,50,0.5,7,0,7,2,0.0,0.0
Kalman,500,50,1.0,5,0,5,1,0.0,0.0
Kalman,500,50,2.0,4,0,4,1,0.0,0.0
