lag,rho_ade_raw,rho_ade_robz
0,1.0,1.0
1,0.5555712304320062,0.5348267209689224
2,0.3059101471755137,0.2661803458622651
3,0.23454300078931994,0.191337801631383
4,0.20210148631755154,0.16679267378748835
5,0.1735603847737593,0.14318991390528787
6,0.15501071323403834,0.12368784090966742
7,0.12811285130152478,0.09429304053121369
8,0.11959827161187396,0.08370064911147822
9,0.11054962213071172,0.07332115121469976
10,0.10537456345949912,0.06758749633653827
11,0.09665253960165292,0.058581905318371326
12,0.09015926370342808,0.053564962560274966
13,0.08644397217235525,0.05036730854796172
14,0.08620743157245772,0.048755393904693405
15,0.08741052150530274,0.0507544937946439
16,0.08423017487325883,0.046272295530403025
17,0.0795925115852249,0.04057794070444735
18,0.077663322691204,0.03730589253244997
19,0.07162878939080027,0.03075449217230651
20,0.06375104281473401,0.023619610115914062
21,0.06366096423746459,0.021544560629741902
22,0.06691146016632933,0.023298598169917622
23,0.06576014462801348,0.023570686928196912
24,0.0701091361437717,0.028009039683196273
25,0.0733780445727588,0.03093089559132777
26,0.07092490123874874,0.027246499205593803
27,0.06515494059652803,0.020876916004601398
28,0.06461387163807138,0.020560210895655098
29,0.06686471954274446,0.02450822355150088
30,0.06735023819661627,0.025638192732497306
31,0.06621421821189599,0.024803853978552663
32,0.06273711093971895,0.019924816837659995
33,0.0575056836345764,0.015426875368017248
34,0.06066856120313625,0.017817455608128033
35,0.06207534592352786,0.018245939911935835
36,0.05814415574185133,0.015431185226313187
37,0.054836464885626365,0.011783073782243667
38,0.05545349889475365,0.013302328709685313
39,0.055504283004565044,0.01252214732436029
40,0.05376050894913306,0.01104460262885144
41,0.05213045939567003,0.008237213791155096
42,0.05318422244444291,0.007459473331007155
43,0.06023822474747135,0.01558905070150916
44,0.06060727838084944,0.01375114767474576
45,0.059827278731127295,0.011807643004995143
46,0.057758703417259825,0.011499856439161103
47,0.05376411894537196,0.00845833721710048
48,0.048560793092993174,0.004202233447993793
49,0.04867425629891698,0.004062129118206069
50,0.04741998629489884,8.356300674510418e-05
51,0.044848579739244526,-0.0029101913538288845
52,0.04804011666950074,0.0008244420768623026
53,0.05173303235406156,0.003477802857713555
54,0.054678542559397636,0.006942902351569632
55,0.04989908450790322,0.006295216674573672
56,0.04841438303681821,0.00594137482501517
57,0.04622179128323832,0.0016304360173877931
58,0.041082786326042724,-0.0016112095015115777
59,0.043761786644484005,0.002227882130999101
60,0.05058741605344981,0.0075595628307872
61,0.04679365848033051,0.0029495821770439516
62,0.04943829954138319,0.004616297642780058
63,0.04921915732241531,0.004816472980982816
64,0.04498357087705727,0.002783225088465771
65,0.04661634282625942,0.0014228644231689509
66,0.04561788679190772,-0.0011972773012613128
67,0.0436853205388082,-0.00376945407882812
68,0.04680807491953141,0.0009489214247277322
69,0.046227029755080924,0.0008161099416355408
70,0.04836220042012474,-0.0007066629643113541
71,0.05095205639585139,0.0008817611499553369
72,0.051034178709747635,0.0021547291737480227
73,0.053111971503053565,0.0055552609058226845
74,0.05328389577997431,0.0049171017649477
75,0.050264924540028795,0.0016458893970583257
76,0.047282024280321994,-0.002080891771225029
77,0.041763216324811996,-0.005449890716330296
78,0.042461764699869474,-0.004350040369054013
79,0.03862373193473153,-0.0079909205424293
80,0.04029353554270867,-0.008440021734352586
81,0.04427390906566861,-0.0035556571285039235
82,0.04148281122496364,-0.005864030783613516
83,0.04338296414230809,-0.005018978697206532
84,0.045408918008534485,-0.003101620615376562
85,0.0449533905387338,-0.004721895456762972
86,0.04000650446486056,-0.009827125425989711
87,0.0390312760473832,-0.010531623186455476
88,0.04035059141288371,-0.009465107879241468
89,0.043236139415179384,-0.0064007693286664905
90,0.04404572456769064,-0.006897511332641185
91,0.03894001228130773,-0.010754428450342465
92,0.0438665758564954,-0.0065109229823695864
93,0.05251465299339959,0.0033135670281548976
94,0.052856533694962834,0.005617508807187256
95,0.05178148047845562,0.0041011478717639365
96,0.04784252873198858,-0.0011657172234732834
97,0.0424404748083838,-0.00648604042471916
98,0.042701137648332534,-0.005464616025356722
99,0.04713326037360036,-0.000999991545316521
100,0.04357055496553541,-0.002686335409531612
101,0.039427551127299024,-0.006354678470428888
102,0.039799171404089784,-0.006255925809229255
103,0.040123268623462285,-0.006512257701192049
104,0.0390490049078259,-0.00849513408570023
105,0.03766940187203092,-0.011777458918062013
106,0.039176874998128136,-0.009117686222136894
107,0.036920220844958454,-0.010679889256256013
108,0.037666590823129405,-0.008833856772442404
109,0.03761456853894737,-0.009154360741118969
110,0.035710416584730016,-0.012513402188093546
111,0.03393099344394673,-0.015297579663383028
112,0.03419585563829034,-0.015021672816060093
113,0.03265748442551642,-0.014900944837820094
114,0.035052001695679395,-0.011486903503612955
115,0.03452918396559033,-0.013448536517584356
116,0.0366585221941111,-0.013013408929410197
117,0.03723232182369218,-0.013062253203056389
118,0.042337827930745434,-0.00417831891267353
119,0.03855177794907376,-0.006548858717063075
120,0.03832271292292711,-0.0073699546941236906
121,0.03292891447036736,-0.015674925854874372
122,0.03049352781325764,-0.018442579092067795
123,0.029601923982667276,-0.019767162822805287
124,0.039957485478550776,-0.011231677865604915
125,0.04141232445639706,-0.009819089423003422
126,0.045167496805294305,-0.007409445843335051
127,0.04496349449440398,-0.0061254342678654415
128,0.04353508978295109,-0.0072879639609378195
129,0.0440019633310269,-0.005896829304598783
130,0.045598545253960926,-0.006835573350861958
131,0.04169631063587013,-0.010574207154117223
132,0.03914291260746678,-0.010048473717544831
133,0.03780115850588244,-0.009252156886883738
134,0.03543260274214797,-0.014442269915225773
135,0.03465709846234031,-0.013781225895607773
136,0.02959899326402206,-0.018404245366086792
137,0.030870238172351565,-0.018417308926185507
138,0.030918673289535577,-0.019384248245467185
139,0.03441956629001468,-0.014635897076581757
140,0.03632877007970328,-0.010290591479791276
141,0.037295475356444875,-0.0077121824335461735
142,0.03388370818373576,-0.010540119531072945
143,0.03716966816675033,-0.007285274744627255
144,0.03458511162835106,-0.011142926924194727
145,0.031674167975457045,-0.015144983675577027
146,0.026548516350963645,-0.022022987740237032
147,0.026656313861626216,-0.020657826365221777
148,0.026709823251656044,-0.018483407505582958
149,0.026384543198918427,-0.01806469595667447
150,0.02442031369458695,-0.020647586319761588
151,0.02606108060051344,-0.02092549969767548
152,0.03136702101677249,-0.01851521642515328
153,0.03386898561268819,-0.01684594017934112
154,0.03334087318256912,-0.014958861254918146
155,0.03383174179780946,-0.015078516040958563
156,0.031993708935175336,-0.01758054741278535
157,0.03383218531430102,-0.015231921900574336
158,0.03716232622458462,-0.012031696230997207
159,0.03360216116593766,-0.016415228404708628
160,0.03273574764478141,-0.018798342340710084
161,0.03779227315194676,-0.013931792399263333
162,0.03187133737270267,-0.018736972789306038
163,0.027918262847128384,-0.023426476012058925
164,0.029766477856755614,-0.02085755834514509
165,0.03207929878548155,-0.018907211976484744
166,0.035271417619127644,-0.01614262437182044
167,0.03265652263491447,-0.019191612023059138
168,0.03330042973741771,-0.02023964289853183
169,0.03165168368620448,-0.020406471432694594
170,0.0267497965763776,-0.025620484867065696
171,0.02797548188365024,-0.022994276485337785
172,0.028993098363558237,-0.021399645501449044
173,0.02847730175806396,-0.02180240599452509
174,0.03095681661032559,-0.019154671588733813
175,0.02967922293453765,-0.020628827750727795
176,0.028215303707411914,-0.02187826475193594
177,0.027095979152286717,-0.02350859280296808
178,0.024846907923796163,-0.0247788328162883
179,0.02602873252102536,-0.023053253134332704
180,0.029653598639537655,-0.019419189802850737
181,0.03325438032377302,-0.016675881731522072
182,0.029716643656252664,-0.018351403423847123
183,0.029060877952765494,-0.018097596711481066
184,0.02844845804645076,-0.01763217617056824
185,0.027932410318161138,-0.018514007422053058
186,0.032178282383179,-0.01411055305550254
187,0.03406467936512883,-0.013777324201910484
188,0.038087721418027055,-0.010840580954236834
189,0.0384359014817679,-0.008982813718993076
190,0.039767670547402156,-0.006794429991636952
191,0.04293310414254072,-0.006014431729581236
192,0.043443986377053274,-0.005283222205233919
193,0.04048601608095931,-0.007689344365031069
194,0.03768709353199195,-0.009485484667593167
195,0.042669289754135045,-0.007239984150838866
196,0.053263657905110416,-0.0035899971126712557
197,0.05999700184815743,-0.001514443809872356
198,0.052428387894720443,-0.00579728471405044
199,0.04814704425351428,-0.005915087157431602
200,0.05066496180413099,-7.21704095765571e-05
201,0.04607408607150633,-0.0008044020224404306
202,0.04557643454155493,0.0034050471577986865
203,0.04270330173772203,0.004824589366532691
204,0.039168909391384836,0.002949476451619077
205,0.03691073626050332,-0.000540586998776786
206,0.037932448186181945,-1.019460142270008e-05
207,0.03957332325765116,7.672075054639305e-05
208,0.03963340159715902,0.0019280940387229738
209,0.037110081884970905,0.0022484824133396897
210,0.036405521015245655,0.0034228509858870576
211,0.035368443318974374,0.002001632454051002
212,0.04081241611778142,0.008057143757790167
213,0.04856040847530568,0.01691610886821246
214,0.04808087557187862,0.015116287778382996
215,0.040978787014442034,0.007302159830941102
216,0.03544932718854438,0.0015063457960343514
217,0.03271475486935289,-0.001068233559092788
218,0.03220262416503466,-0.0010740938046221872
219,0.030595161594100386,-0.00211870413094731
220,0.03148709179417165,-0.0008529582446801182
221,0.033332724541303434,0.002943530118085136
222,0.031444972959504255,0.0018551049939326155
223,0.03420937189322991,0.005436228553831568
224,0.03661857786083377,0.006103228425136491
225,0.0321702502953775,0.00028509468294176467
226,0.029080062859445404,-0.002279600919498911
227,0.02590332829323084,-0.006187697635674931
228,0.03161668786629309,-0.0002491681511389995
229,0.03193373790553245,0.00039681882073378926
230,0.03127185169824565,0.0012730459623376286
231,0.030246643295297318,1.0928320644483663e-06
232,0.02945672181269095,-0.002747649564647783
233,0.03285018806311546,-0.00039778753049600756
234,0.03192914155111069,-0.001457823138165863
235,0.03371155222093659,0.0014304994773259047
236,0.030274548605521992,-0.0004284799707007107
237,0.02697484180664894,-0.0028552134937962726
238,0.029231567457892377,-0.0006677578819991064
239,0.02542461372646102,-0.004643143520599919
240,0.022114413050602563,-0.008850119103958259
241,0.02326697736638641,-0.007414711825362903
242,0.023357225254348312,-0.008013991810028008
243,0.02863840741813389,-0.003089677752385534
244,0.02712948509899493,-0.0048437440182184524
245,0.03439407637490411,0.0034446014623136937
246,0.033733731570983784,0.0022466301646772847
247,0.031083538979169878,-0.000158217116041484
248,0.03378074279545817,0.0005402152113300947
249,0.03554064740642405,0.0014683107260518881
250,0.035759129908872866,0.0026401235919849757
251,0.03360013929683337,0.0005820021153740239
252,0.03175139533110772,-0.0022039885951955205
253,0.033610769973535085,0.0008651901885249396
254,0.03619831116416932,0.00408707323433613
255,0.039772056406339996,0.006976113318695801
256,0.038406309136124174,0.003490295321609053
257,0.03971757295761794,0.0027333507045480044
258,0.03633798654946625,1.1966511051891833e-05
259,0.036650646758523156,0.0011580507741410998
260,0.03816383441417501,0.002522464840450991
261,0.04045273569889503,0.004474286030570653
262,0.04104261070110868,0.004594730542921103
263,0.03836404639851691,0.003001554610386206
264,0.038716312557551806,0.003318221197194941
265,0.034350618426642006,8.74353451236692e-05
266,0.030521153570136704,-0.00318973847256218
267,0.0317539788477005,-0.002353591261470179
268,0.03551599168176419,0.000807414655197756
269,0.03709666316447704,0.001982740250426631
270,0.03874626070364395,0.0034709570951319134
271,0.039417538346828554,0.003346195131693322
272,0.03843218579320549,0.003085441891529262
273,0.04062775058672625,0.0055615045142247375
274,0.03632190526454072,0.0038841259777717945
275,0.03552940962316813,0.0034776892138421445
276,0.03282192277934194,-0.00034983071045764815
277,0.030028057145492656,-0.0037552969003214584
278,0.03121011629510049,-0.003010118007453056
279,0.031357808678316494,-0.002175705009450497
280,0.03651508205935732,0.0015665591283425234
281,0.036726234868025606,0.0020210492345902
282,0.03529547817031472,0.001839329063565749
283,0.03590593629864942,0.00494328465461487
284,0.034160476572963554,0.0023181245259126645
285,0.03425274821809398,0.0024035118328740784
286,0.03679535715067442,0.004713079886648344
287,0.033635742732144,0.002372838629403721
288,0.03480454761966639,0.004076563548320857
289,0.03952898762125946,0.008278764555578702
290,0.03956079887285318,0.007385969518352405
291,0.03924157586381524,0.005010742425988469
292,0.0367437948869719,0.000475460044915748
293,0.032021564929320026,-0.004653538563696289
294,0.03250782083473803,-0.0025465283449417706
295,0.03297696070352417,-0.002380029275076755
296,0.0300742625144116,-0.004206017717784678
297,0.03074100667716659,-0.0041260397462245845
298,0.03379318412687347,-0.0011036719188345988
299,0.03150207338705836,-0.0027331621349316005
300,0.030743720570956982,-0.0021490103810039123
301,0.03275786428899609,-0.0019028141793720375
302,0.035422934335132404,0.0003519531671127033
303,0.036043221366881616,0.002774221272239146
304,0.03246585944726581,0.0009166902783049804
305,0.03132905741878102,-0.000957904525268615
306,0.03673453046018479,0.0015762840297214107
307,0.038189057861011046,0.00297110207225764
308,0.0356572770056734,0.0011957187187479673
309,0.03018795565763475,-0.0027708842320776006
310,0.026207286468816933,-0.006295239968718475
311,0.025205082420709783,-0.006989280451355716
312,0.02284684782474918,-0.010008325694465752
313,0.02271280481439473,-0.009142171487199674
314,0.024523852767245398,-0.006791837319968909
315,0.028386055013202238,-0.0028348846890451683
316,0.022184626648484893,-0.008849839003282182
317,0.01897131463141567,-0.012170750109487084
318,0.023877921599295204,-0.006749106508143933
319,0.02417295264781755,-0.005998930719656598
320,0.025179573562171424,-0.0052149357115491325
321,0.021503910717715707,-0.009658400506764649
322,0.021657300125364706,-0.009977854470811386
323,0.0265196955722914,-0.00555825555560113
324,0.02802190752417642,-0.003248610423152115
325,0.02314967770613815,-0.008008309837504776
326,0.020508257389083247,-0.009306973666838251
327,0.02420815897379639,-0.005434957429120866
328,0.02285257922311633,-0.007687819962795233
329,0.017690583784215747,-0.01186690325980422
330,0.024315541920425763,-0.005287891381575981
331,0.03182367857053038,0.0012049253840573653
332,0.03176085421123751,0.0012806710573724472
333,0.030039026241961413,-0.0006307252337884226
334,0.02661600643008079,-0.002397772380125648
335,0.03340174803503338,0.005659512680378833
336,0.03415123961671993,0.005416070599246665
337,0.026321754499609943,-0.0037110113473076433
338,0.023342257329597542,-0.005372615198283304
339,0.02146584842638689,-0.005313557531549884
340,0.020748917276927636,-0.006347012606849774
341,0.019755820454469716,-0.008220087680174886
342,0.02292928309950017,-0.00666177852604984
343,0.026822834218522763,-0.003569282326120713
344,0.02296217045711233,-0.007070706635691648
345,0.023759994237478176,-0.005492385641475591
346,0.025501340637083418,-0.004775041158077605
347,0.022316373257610742,-0.008527951589503096
348,0.025481975853350148,-0.0050256786304763955
349,0.022940701172222588,-0.005477130963845957
350,0.01973078146885706,-0.008934113421338223
351,0.02608480007234397,-0.006201156037370356
352,0.022063162962103946,-0.010024802031633829
353,0.021949412383497152,-0.009763129454158985
354,0.01902720668163273,-0.012162618225641152
355,0.0166441826714273,-0.013690902244797496
356,0.016173854870885615,-0.014162069688246844
357,0.01999576459031511,-0.009948486786137758
358,0.017011733785736154,-0.013205060071355867
359,0.01705929533566071,-0.013308735525088291
360,0.019079763841899144,-0.012640268286677735
361,0.0193726760581299,-0.01241461988691534
362,0.019686967914082115,-0.01163335315090182
363,0.016572454965086417,-0.014563761364136736
364,0.011370969862870606,-0.018265639836217526
365,0.01463735712668129,-0.015670640097018393
366,0.015538889224167055,-0.016675860696088885
367,0.023838614358035533,-0.009056471593893944
368,0.02880828928347787,-0.005910931428163697
369,0.034432639062776056,-0.0021512432003714613
370,0.030690020212028383,-0.004775231397369125
371,0.027101898637823692,-0.007118133490658072
372,0.021622473211881182,-0.011751803416353523
