year,ks_speed_window__p50,ks_speed_window__p90,wd_speed_window__p50,wd_speed_window__p90,ks_accel_window__p50,ks_accel_window__p90,wd_accel_window__p50,wd_accel_window__p90
2019,0.1645111491071203,0.26228147046616923,1.8202457848147051,3.8923920379599863,0.13976948806055828,0.23228457099849226,0.0573276987771911,0.11804705481241948
2021,0.2012658410428931,0.38308877203128844,3.201376075795778,8.261687521150607,0.2274956831532379,0.3598485723085703,0.1648572162039044,0.3450232714275336
2022,0.26082180070716776,0.34238782319954353,4.330006101574378,6.255654513341325,0.24521643709424468,0.32014350590389895,0.12831641224149565,0.15605861407265564
2023,0.1725756955188023,0.3058862456547834,2.770777653025,5.338288370858511,0.1603387407034224,0.30484927726742345,0.0874861106197643,0.17900668077222606
2024,0.2675196029696579,0.3500070290720829,4.404098870238228,6.489320332365853,0.2378690723503279,0.3361991244851866,0.1153482143629448,0.1705801100871182
2025,0.2591807710960232,0.3282209554114633,4.375013464891857,6.27894760263068,0.2572596782684995,0.3291603563736796,0.1644188404192414,0.1933587611565959
