frente,model,detector,exp,delta,min_window,cooldown,max_window,pre_proc,n_2019_total,n_post_total,n_alarms_total,FAR_2019_per1k,n_alarms_post,SNR_op,n_2019,n_2021,n_2022,n_2023,n_2024,n_2025,N_window,K_thr,K_delta,alpha,window_size,stat_size
A,Seq2Seq,ADWIN,A_d1e-05_mw200_cd1000_xw5000,0.000010,200.000000,1000.000000,5000.000000,robz_w200,48000,240000,79,0.312500,64,0.850000,15,11,11,14,17,11,,,,,,
A,Seq2Seq,ADWIN,A_d1e-05_mw400_cd200_xw2000,0.000010,400.000000,200.000000,2000.000000,robz_w200,48000,240000,119,0.520800,94,0.750000,25,20,14,26,23,11,,,,,,
A,Seq2Seq,ADWIN,A_d1e-05_mw400_cd200_xw5000,0.000010,400.000000,200.000000,5000.000000,robz_w200,48000,240000,115,0.541700,89,0.680000,26,18,13,24,27,7,,,,,,
A,Seq2Seq,ADWIN,A_d1e-05_mw400_cd500_xw2000,0.000010,400.000000,500.000000,2000.000000,robz_w200,48000,240000,108,0.479200,85,0.740000,23,19,13,21,21,11,,,,,,
A,Seq2Seq,ADWIN,A_d1e-05_mw400_cd500_xw5000,0.000010,400.000000,500.000000,5000.000000,robz_w200,48000,240000,105,0.500000,81,0.680000,24,17,12,20,25,7,,,,,,
A,Seq2Seq,ADWIN,A_d1e-05_mw400_cd1000_xw2000,0.000010,400.000000,1000.000000,2000.000000,robz_w200,48000,240000,82,0.354200,65,0.760000,17,13,10,16,17,9,,,,,,
A,Seq2Seq,ADWIN,A_d1e-05_mw400_cd1000_xw5000,0.000010,400.000000,1000.000000,5000.000000,robz_w200,48000,240000,75,0.395800,56,0.590000,19,10,8,15,17,6,,,,,,
A,Seq2Seq,ADWIN,A_d1e-05_mw600_cd200_xw2000,0.000010,600.000000,200.000000,2000.000000,robz_w200,48000,240000,107,0.375000,89,0.990000,18,17,18,25,19,10,,,,,,
A,Seq2Seq,ADWIN,A_d1e-05_mw600_cd200_xw5000,0.000010,600.000000,200.000000,5000.000000,robz_w200,48000,240000,102,0.395800,83,0.870000,19,16,18,22,23,4,,,,,,
A,Seq2Seq,ADWIN,A_d1e-05_mw600_cd500_xw2000,0.000010,600.000000,500.000000,2000.000000,robz_w200,48000,240000,107,0.375000,89,0.990000,18,17,18,25,19,10,,,,,,
A,Seq2Seq,ADWIN,A_d1e-05_mw600_cd500_xw5000,0.000010,600.000000,500.000000,5000.000000,robz_w200,48000,240000,102,0.395800,83,0.870000,19,16,18,22,23,4,,,,,,
A,Seq2Seq,ADWIN,A_d1e-05_mw600_cd1000_xw2000,0.000010,600.000000,1000.000000,2000.000000,robz_w200,48000,240000,74,0.250000,62,1.030000,12,11,13,17,13,8,,,,,,
A,Seq2Seq,ADWIN,A_d1e-05_mw600_cd1000_xw5000,0.000010,600.000000,1000.000000,5000.000000,robz_w200,48000,240000,70,0.312500,55,0.730000,15,10,12,13,16,4,,,,,,
A,Seq2Seq,ADWIN,A_d1e-05_mw1000_cd200_xw2000,0.000010,1000.000000,200.000000,2000.000000,robz_w200,48000,240000,80,0.375000,62,0.690000,18,12,7,19,16,8,,,,,,
A,Seq2Seq,ADWIN,A_d1e-05_mw1000_cd200_xw5000,0.000010,1000.000000,200.000000,5000.000000,robz_w200,48000,240000,81,0.416700,61,0.610000,20,13,9,17,17,5,,,,,,
A,Seq2Seq,ADWIN,A_d1e-05_mw1000_cd500_xw2000,0.000010,1000.000000,500.000000,2000.000000,robz_w200,48000,240000,80,0.375000,62,0.690000,18,12,7,19,16,8,,,,,,
A,Seq2Seq,ADWIN,A_d1e-05_mw1000_cd500_xw5000,0.000010,1000.000000,500.000000,5000.000000,robz_w200,48000,240000,81,0.416700,61,0.610000,20,13,9,17,17,5,,,,,,
A,Seq2Seq,ADWIN,A_d1e-05_mw1000_cd1000_xw2000,0.000010,1000.000000,1000.000000,2000.000000,robz_w200,48000,240000,80,0.375000,62,0.690000,18,12,7,19,16,8,,,,,,
A,Seq2Seq,ADWIN,A_d1e-05_mw1000_cd1000_xw5000,0.000010,1000.000000,1000.000000,5000.000000,robz_w200,48000,240000,81,0.416700,61,0.610000,20,13,9,17,17,5,,,,,,
